interview	इंटरव्यू
meeting	मीटिंग
project	प्रोजेक्ट
office	ऑफिस
email	ईमेल
manager	मैनेजर
time	टाइम
date	डेट
today	टुडे
tomorrow	टुमॉरो
college	कॉलेज
exam	एग्ज़ाम
result	रिज़ल्ट
sir	सर
madam	मैडम
boss	बॉस
salary	सैलरी
payment	पेमेंट
account	अकाउंट
order	ऑर्डर
delivery	डिलीवरी
message	मैसेज
number	नंबर
mobile	मोबाइल
phone	फ़ोन
online	ऑनलाइन
link	लिंक
form	फ़ॉर्म
video	वीडियो
photo	फ़ोटो
app	ऐप
update	अपडेट
download	डाउनलोड
install	इंस्टॉल
password	पासवर्ड
login	लॉगिन
logout	लॉगआउट
profile	प्रोफ़ाइल
data	डेटा
network	नेटवर्क
internet	इंटरनेट
wifi	वाई-फाई
charge	चार्ज
battery	बैटरी
screen	स्क्रीन
camera	कैमरा
ticket	टिकट
booking	बुकिंग
cancel	कैंसल
confirm	कन्फ़र्म
verify	वेरिफाई
otp	ओटीपी
pin	पिन
share	शेयर
post	पोस्ट
story	स्टोरी
reel	रील
follow	फ़ॉलो
like	लाइक
comment	कमेंट
group	ग्रुप
contact	कॉन्टैक्ट
address	एड्रेस
location	लोकेशन
map	मैप
route	रूट
train	ट्रेन
bus	बस
auto	ऑटो
cab	कैब
flight	फ़्लाइट
hotel	होटल
hospital	हॉस्पिटल
doctor	डॉक्टर
medicine	मेडिसिन
report	रिपोर्ट
test	टेस्ट
class	क्लास
teacher	टीचर
student	स्टूडेंट
fee	फ़ीस
homework	होमवर्क
assignment	असाइनमेंट
subject	सब्जेक्ट
marks	मार्क्स
pass	पास
fail	फ़ेल
department	डिपार्टमेंट
company	कंपनी
job	जॉब
work	वर्क
leave	लीव
holiday	हॉलिडे
week	वीक
month	मंथ
year	ईयर
morning	मॉर्निंग
evening	ईवनिंग
night	नाइट
family	फ़ैमिली
friend	फ्रेंड
party	पार्टी
birthday	बर्थडे
gift	गिफ़्ट
money	मनी
bank	बैंक
loan	लोन
emi	ईएमआई
shopping	शॉपिंग
discount	डिस्काउंट
offer	ऑफ़र
price	प्राइस
bill	बिल
tax	टैक्स
problem	प्रॉब्लम
solution	सॉल्यूशन
idea	आइडिया
plan	प्लान
change	चेंज
help	हेल्प
support	सपोर्ट
service	सर्विस
complaint	कंप्लेंट
feedback	फ़ीडबैक
review	रिव्यू
rating	रेटिंग
news	न्यूज़
channel	चैनल
show	शो
movie	मूवी
song	सॉन्ग
music	म्यूज़िक
game	गेम
match	मैच
team	टीम
player	प्लेयर
score	स्कोर
win	विन
loss	लॉस
language	लैंग्वेज
english	इंग्लिश
hindi	हिंदी
name	नेम
place	प्लेस
city	सिटी
state	स्टेट
country	कंट्री
weather	वेदर
road	रोड
market	मार्केट
shop	शॉप
food	फ़ूड
water	वॉटर
power	पावर
light	लाइट
color	कलर
size	साइज़
type	टाइप
code	कोड
system	सिस्टम
software	सॉफ़्टवेयर
hardware	हार्डवेयर
laptop	लैपटॉप
computer	कंप्यूटर
keyboard	कीबोर्ड
mouse	माउस
printer	प्रिंटर
file	फ़ाइल
document	डॉक्युमेंट
folder	फ़ोल्डर
speed	स्पीड
mode	मोड
version	वर्ज़न
error	एरर
setting	सेटिंग
option	ऑप्शन
menu	मेन्यू
button	बटन
call	कॉल
the	द
attend	अटेंड
please	प्लीज़
receive	रिसीव
customer	कस्टमर
care	केयर
request	रिक्वेस्ट
complete	कम्प्लीट
submit	सबमिट
register	रजिस्टर
schedule	शेड्यूल
available	अवेलेबल
important	इम्पॉर्टेंट
urgent	अर्जेंट
ready	रेडी
busy	बिज़ी
free	फ्री
sure	श्योर
detail	डिटेल
screenshot	स्क्रीनशॉट
status	स्टेटस
approve	अप्रूव
reject	रिजेक्ट
